"especie","registros_gbif","conservacion"
"Oenocarpus bataua",40,NULL
"Euterpe oleracea",24,NULL
"Geonoma cuneata",22,NULL
"Geonoma undata",21,NULL
"Wettinia quinaria",20,NULL
NULL,20,NULL
"Geonoma orbignyana",19,NULL
"Hyospathe elegans",11,NULL
"Prestoea acuminata",11,NULL
"Synechanthus warscewiczianus",9,NULL
"Aiphanes tricuspidata",9,NULL
"Geonoma paradoxa",7,NULL
"Bactris gasipaes",7,NULL
"Aiphanes lindeniana",7,NULL
"Geonoma chococola",6,NULL
"Wettinia praemorsa",6,NULL
"Prestoea ensiformis",6,NULL
"Desmoncus cirrhifer",6,NULL
"Pholidostachys dactyloides",5,NULL
"Prestoea decurrens",5,NULL
"Bactris setulosa",5,NULL
"Bactris maraja",5,NULL
"Socratea exorrhiza",5,NULL
"Attalea cuatrecasana",5,NULL
"Geonoma interrupta",5,NULL
"Euterpe precatoria",4,NULL
"Aiphanes ulei",4,NULL
"Chamaedorea pinnatifrons",4,NULL
"Iriartea deltoidea",4,NULL
"Manicaria saccifera",4,NULL
"Mauritiella macroclada",4,NULL
"Pholidostachys synanthera",4,NULL
"Geonoma deversa",3,NULL
"Wettinia anomala",3,NULL
"Elaeis oleifera",3,"En Peligro"
"Geonoma calyptrogynoidea",3,NULL
"Aiphanes simplex",3,NULL
"Dictyocaryum lamarckianum",2,NULL
"Aiphanes duquei",2,"En Peligro"
"Chamaedorea linearis",2,NULL
"Bactris coloradonis",2,NULL
"Wettinia radiata",2,NULL
"Astrocaryum standleyanum",2,NULL
"Dypsis lutescens",2,NULL
"Welfia regia",2,NULL
"Oenocarpus minor",2,NULL
"Bactris obovata",1,NULL
"Aiphanes horrida",1,NULL
"Aiphanes gelatinosa",1,"Vulnerable"
"Phytelephas macrocarpa",1,NULL
"Cocos nucifera",1,NULL
"Geonoma triandra",1,NULL
"Welfia georgii",1,NULL
"Wettinia aequalis",1,NULL
"Wettinia castanea",1,NULL
"Wettinia kalbreyeri",1,NULL
"Wettinia lanata",1,NULL
"Geonoma lehmannii",1,NULL
"Geonoma congesta",1,NULL
