"especie","registros_gbif"
NULL,321
"Oenocarpus bataua",308
"Lepidocaryum tenue",189
"Geonoma maxima",149
"Geonoma deversa",130
"Wettinia praemorsa",118
"Hyospathe elegans",113
"Geonoma triglochin",113
"Euterpe precatoria",111
"Geonoma interrupta",110
"Iriartella setigera",108
"Geonoma stricta",108
"Socratea exorrhiza",81
"Bactris simplicifrons",80
"Oenocarpus bacaba",79
"Bactris acanthocarpa",71
"Euterpe catinga",70
"Attalea microcarpa",69
"Wettinia drudei",67
"Iriartella stenocarpa",64
"Iriartea deltoidea",63
"Bactris balanophora",52
"Astrocaryum ciliatum",51
"Attalea insignis",50
"Bactris fissifrons",49
"Pholidostachys synanthera",48
"Geonoma orbignyana",47
"Attalea racemosa",45
"Bactris hirta",45
"Socratea rostrata",42
"Attalea maripa",41
"Prestoea carderi",39
"Bactris maraja",39
"Chamaedorea pinnatifrons",37
"Syagrus orinocensis",35
"Bactris major",34
"Astrocaryum aculeatum",33
"Geonoma macrostachys",33
"Geonoma multisecta",32
"Oenocarpus minor",30
"Astrocaryum chambira",30
"Astrocaryum gynacanthum",29
"Geonoma undata",29
"Prestoea acuminata",28
"Wettinia anomala",27
"Wettinia fascicularis",26
"Mauritiella armata",26
"Oenocarpus mapora",25
"Aiphanes ulei",24
"Bactris corossilla",22
"Astrocaryum acaule",19
"Geonoma brongniartii",18
"Dictyocaryum lamarckianum",17
"Desmoncus polyacanthos",17
"Mauritia flexuosa",16
"Bactris gasipaes",16
"Bactris macroacantha",15
"Chamaedorea linearis",15
"Desmoncus giganteus",14
"Desmoncus mitis",14
"Prestoea ensiformis",13
"Wettinia maynensis",12
"Geonoma leptospadix",11
"Bactris elegans",10
"Geonoma camana",10
"Geonoma poeppigiana",9
"Geonoma longepedunculata",8
"Astrocaryum murumuru",8
"Attalea butyracea",7
"Aiphanes simplex",6
"Dypsis lutescens",6
"Desmoncus intermedius",6
"Bactris setulosa",6
"Mauritia carana",5
"Geonoma euspatha",5
"Chamaedorea pauciflora",5
"Bactris killipii",4
"Astrocaryum urostachys",4
"Cocos nucifera",4
"Mauritiella aculeata",3
"Elaeis guineensis",3
"Caryota urens",3
"Bactris schultesii",3
"Dictyocaryum ptarianum",3
"Ceroxylon vogelianum",2
"Euterpe oleracea",2
"Astrocaryum standleyanum",2
"Geonoma frontinensis",2
"Bactris obovata",2
"Desmoncus setosus",2
"Manicaria saccifera",2
"Bactris bidentula",2
"Astrocaryum jauari",2
"Ammandra decasperma",1
"Elaeis oleifera",1
"Rhapis excelsa",1
"Roystonea regia",1
"Sabal mauritiiformis",1
"Bactris campestris",1
"Attalea osmantha",1
"Geonoma laxiflora",1
