"ecoregion","riqespecies"
"Magdalena Valley montane forests",164
"Chocó-Darién moist forests",107
"Northwestern Andean montane forests",101
"Solimões-Japurá moist forests",96
"Caqueta moist forests",86
"Cordillera Oriental montane forests",83
"Napo moist forests",82
"Purus varzeá",79
NULL,78
"Cauca Valley montane forests",76
"Llanos",75
"Negro-Branco moist forests",66
"Magdalena-Urabá moist forests",57
"South American Pacific mangroves",53
"Cauca Valley dry forests",44
"Eastern Cordillera real montane forests",43
"Japurá-Solimoes-Negro moist forests",41
"Apure-Villavicencio dry forests",35
"Iquitos varzeá",29
"Amazon-Orinoco-Southern Caribbean mangroves",28
"Eastern Panamanian montane forests",26
"Magdalena Valley dry forests",22
"Guajira-Barranquilla xeric scrub",22
"Western Ecuador moist forests",20
"Sinú Valley dry forests",19
"Northern Andean páramo",18
"Santa Marta montane forests",15
"Rio Negro campinarana",13
"Catatumbo moist forests",10
"Cayos Miskitos-San Andrés and Providencia moist forests",3
"Southwest Amazon moist forests",1
"Santa Marta páramo",1
"Patía Valley dry forests",1
