"genero","especies"
"Geonoma",42.0
"Bactris",37.0
"Aiphanes",26.0
"Chamaedorea",26.0
"Attalea",21.0
"Wettinia",18.0
"Desmoncus",14.0
"Astrocaryum",13.0
"Oenocarpus",9.0
"Pholidostachys",8.0
"Prestoea",8.0
"Ceroxylon",7.0
"Syagrus",5.0
"Mauritiella",4.0
"Euterpe",4.0
"Phytelephas",4.0
"Phoenix",4.0
"Nypa",4.0
"Calyptrogyne",3.0
"Racemonocolpites",3.0
"Chelyocarpus",3.0
"Reinhardtia",3.0
"Hyospathe",3.0
"Socratea",3.0
"Dypsis",3.0
"Synechanthus",3.0
"Leopoldinia",2.0
"Archontophoenix",2.0
"Caryota",2.0
"Coccothrinax",2.0
"Cryosophila",2.0
"Dictyocaryum",2.0
"Elaeis",2.0
"Iriartella",2.0
"Licuala",2.0
"Manicaria",2.0
"Mauritia",2.0
"Roystonea",2.0
"Sabal",2.0
"Washingtonia",2.0
"Welfia",2.0
"Trachycarpus",1.0
"Luminidites",1.0
"Veitchia",1.0
"Wodyetia",1.0
"Cyrtostachys",1.0
"Mauritiidites",1.0
"Copernicia",1.0
"Cocos",1.0
"Orania",1.0
"Parajubaea",1.0
"Calamus",1.0
"Brassiophoenix",1.0
"Bismarckia",1.0
"Asterogyne",1.0
"Pritchardia",1.0
"Ptychosperma",1.0
"Arenga",1.0
"Raphia",1.0
"Areca",1.0
"Rhapis",1.0
"Itaya",1.0
"Lepidocaryum",1.0
"Livistona",1.0
"Acoelorrhaphe",1.0
"Sabinaria",1.0
"Saribus",1.0
"Ammandra",1.0
"Adonidia",1.0
"Hyophorbe",1.0
"Howea",1.0
"Iriartea",1.0
"Acrocomia",1.0
NULL,0.0
"Acoelorraphe",0.0
"Sclerosperma",0.0
